model,threshold,raw_threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,tp,fp,fn,tn
Node-Tier (Prob),0.6039393939393939,0.8206438427802287,0.7153558052434457,1.0,0.8340611348849468,0.28217821782178215,0.0,1146,456,0,1160
Node-Tier (Prob),0.6138383838383838,0.8251266031494044,0.7198492462311558,1.0,0.8371073771611851,0.275990099009901,0.0,1146,446,0,1170
Node-Tier (Prob),0.6237373737373737,0.82960936351858,0.7225725094577553,1.0,0.8389458267457657,0.2722772277227723,0.0,1146,440,0,1176
Node-Tier (Prob),0.6336363636363637,0.8340921238877557,0.7248576850094877,1.0,0.8404840479175631,0.2691831683168317,0.0,1146,435,0,1181
Node-Tier (Prob),0.6435353535353535,0.8385748842569313,0.7285441830896376,1.0,0.8429569689864026,0.26423267326732675,0.0,1146,427,0,1189
Node-Tier (Prob),0.6534343434343434,0.8430576446261069,0.7322683706070288,1.0,0.8454444849416743,0.2592821782178218,0.0,1146,419,0,1197
Node-Tier (Prob),0.6633333333333333,0.8475404049952825,0.7350865939704939,1.0,0.8473197777001953,0.2555693069306931,0.0,1146,413,0,1203
Node-Tier (Prob),0.6732323232323232,0.8520231653644581,0.7365038560411311,1.0,0.8482605472539254,0.2537128712871287,0.0,1146,410,0,1206
Node-Tier (Prob),0.6831313131313131,0.8565059257336337,0.7384020618556701,1.0,0.8495181611125084,0.25123762376237624,0.0,1146,406,0,1210
Node-Tier (Prob),0.693030303030303,0.8609886861028093,0.741267787839586,1.0,0.8514115894070273,0.24752475247524752,0.0,1146,400,0,1216
Node-Tier (Prob),0.702929292929293,0.8654714464719849,0.7431906614785992,1.0,0.8526785709394232,0.24504950495049505,0.0,1146,396,0,1220
Node-Tier (Prob),0.7128282828282828,0.8699542068411605,0.7441558441558441,1.0,0.8533134768004085,0.2438118811881188,0.0,1146,394,0,1222
Node-Tier (Prob),0.7227272727272727,0.8744369672103361,0.74609375,1.0,0.8545861292644875,0.24133663366336633,0.0,1146,390,0,1226
Node-Tier (Prob),0.7326262626262626,0.8789197275795118,0.8070422535211268,1.0,0.8932190174324353,0.16955445544554457,0.0,1146,274,0,1342
Node-Tier (Prob),0.7425252525252525,0.8834024879486874,0.8981191222570533,1.0,0.9463253504510688,0.08044554455445545,0.0,1146,130,0,1486
Node-Tier (Prob),0.7524242424242424,0.887885248317863,0.9204819277108434,1.0,0.9585947297392511,0.06126237623762376,0.0,1146,99,0,1517
Node-Tier (Prob),0.7623232323232323,0.8923680086870386,0.9478908188585607,1.0,0.9732484071436699,0.038985148514851485,0.0,1146,63,0,1553
Node-Tier (Prob),0.7722222222222221,0.8968507690562142,0.9654591406908172,1.0,0.9824260603659923,0.025371287128712873,0.0,1146,41,0,1575
Node-Tier (Prob),0.7821212121212121,0.9013335294253899,0.9711864406779661,1.0,0.9853826306265041,0.02103960396039604,0.0,1146,34,0,1582
Node-Tier (Prob),0.792020202020202,0.9058162897945654,0.9711864406779661,1.0,0.9853826306265041,0.02103960396039604,0.0,1146,34,0,1582
Node-Tier (Prob),0.8019191919191919,0.9102990501637411,0.9711864406779661,1.0,0.9853826306265041,0.02103960396039604,0.0,1146,34,0,1582
Node-Tier (Prob),0.8118181818181818,0.9147818105329166,0.9720101781170484,1.0,0.985806451113004,0.02042079207920792,0.0,1146,33,0,1583
Node-Tier (Prob),0.8217171717171717,0.9192645709020923,0.9728353140916808,1.0,0.9862306363331412,0.019801980198019802,0.0,1146,32,0,1584
Node-Tier (Prob),0.8316161616161616,0.9237473312712678,0.9744897959183674,1.0,0.9870801028592565,0.018564356435643563,0.0,1146,30,0,1586
Node-Tier (Prob),0.8415151515151514,0.9282300916404435,0.9744680851063829,0.9991273996509599,0.9866436875655671,0.018564356435643563,0.0008726003490401396,1145,30,1,1586
Node-Tier (Prob),0.8514141414141414,0.9327128520096191,0.9761295822676896,0.9991273996509599,0.9874946092456478,0.017326732673267328,0.0008726003490401396,1145,28,1,1588
Node-Tier (Prob),0.8613131313131313,0.9371956123787948,0.976068376068376,0.9965095986038395,0.9861830737660294,0.017326732673267328,0.0034904013961605585,1142,28,4,1588
Node-Tier (Prob),0.8712121212121212,0.9416783727479703,0.9759862778730704,0.9930191972076788,0.9844290652439821,0.017326732673267328,0.006980802792321117,1138,28,8,1588
Node-Tier (Prob),0.8811111111111111,0.946161133117146,0.9759450171821306,0.9912739965095986,0.9835497830498139,0.017326732673267328,0.008726003490401396,1136,28,10,1588
Node-Tier (Prob),0.891010101010101,0.9506438934863215,0.9767241379310345,0.9886561954624782,0.9826539457272516,0.01670792079207921,0.011343804537521814,1133,27,13,1589
Node-Tier (Prob),0.9009090909090909,0.9551266538554972,0.9766839378238342,0.9869109947643979,0.9817708328333469,0.01670792079207921,0.013089005235602094,1131,27,15,1589
Node-Tier (Prob),0.9108080808080807,0.9596094142246727,0.976643598615917,0.9851657940663177,0.9808861854252918,0.01670792079207921,0.014834205933682374,1129,27,17,1589
Node-Tier (Prob),0.9207070707070707,0.9640921745938484,0.976643598615917,0.9851657940663177,0.9808861854252918,0.01670792079207921,0.014834205933682374,1129,27,17,1589
Node-Tier (Prob),0.9306060606060605,0.9685749349630239,0.9766031195840554,0.9834205933682374,0.9799999995000059,0.01670792079207921,0.016579406631762654,1127,27,19,1589
Node-Tier (Prob),0.9405050505050505,0.9730576953321997,0.9765421372719374,0.9808027923211169,0.9786678271012212,0.01670792079207921,0.019197207678883072,1124,27,22,1589
